frontier_id,symbol,de,source,license,review
128049168,Beryllium,Beryllium,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049169,Indium,Indium,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049170,Gallium,Gallium,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049176,Aluminium,Aluminium,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049177,Algae,Algen,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049178,FruitAndVegetables,Obst und Gemüse,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049180,Grain,Getreide,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049182,Animalmeat,Tierfleisch,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049183,Fish,Fisch,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049184,FoodCartridges,Nahrungskartuschen,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049185,SyntheticMeat,Künstliches Fleisch,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049188,Tea,Tee,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049189,Coffee,Kaffee,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049190,Leather,Leder,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
128049191,NaturalFabrics,Naturfasern,https://github.com/EDCD/EDDI/blob/d3b964ea7c8bb959ad6537f55b308f293a326905/DataDefinitions/Properties/Commodities.de.resx,Apache-2.0,Open-source value corroborated by German local Market observation; observation is not the distribution source.
